"county_fips_code","county_name","date","confirmed_cases","deaths","total_pop","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","first_confirmed_case_date","population_density","case_fatality_rate","infection_rate","mortality_rate","avg_activity_change_7_days","new_deaths","new_confirmed_cases"
"06027","Inyo County",2020-08-26,176,12,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,6.81818181818182,0.00967298708436384,0.000659521846661171,0,107,4903
"06027","Inyo County",2020-08-27,178,13,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.30337078651685,0.0097829073921407,0.000714482000549601,0,99,4620
"06027","Inyo County",2020-08-28,181,13,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.18232044198895,0.00994778785380599,0.000714482000549601,0,117,4001
"06027","Inyo County",2020-08-29,181,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.73480662983425,0.00994778785380599,0.000769442154438032,0,87,3939
"06027","Inyo County",2020-08-30,182,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.69230769230769,0.0100027480076944,0.000769442154438032,0,118,2628
"06027","Inyo County",2020-08-31,182,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.69230769230769,0.0100027480076944,0.000769442154438032,0,110,2268
"06027","Inyo County",2020-09-01,182,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.69230769230769,0.0100027480076944,0.000769442154438032,0,88,4358
"06027","Inyo County",2020-09-02,183,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.65027322404372,0.0100577081615829,0.000769442154438032,0,101,4588
"06027","Inyo County",2020-09-03,183,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.65027322404372,0.0100577081615829,0.000769442154438032,0,82,4049
"06027","Inyo County",2020-09-04,183,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.65027322404372,0.0100577081615829,0.000769442154438032,0,81,3682
"06027","Inyo County",2020-09-05,185,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.56756756756757,0.0101676284693597,0.000769442154438032,0,89,3462
"06027","Inyo County",2020-09-06,185,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.56756756756757,0.0101676284693597,0.000769442154438032,0,86,2266
"06027","Inyo County",2020-09-07,185,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.56756756756757,0.0101676284693597,0.000769442154438032,0,83,1974
"06027","Inyo County",2020-09-08,185,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.56756756756757,0.0101676284693597,0.000769442154438032,0,73,2325
"06027","Inyo County",2020-09-09,185,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.56756756756757,0.0101676284693597,0.000769442154438032,0,81,4241
"06027","Inyo County",2020-09-10,185,14,18195,NA,NA,NA,NA,NA,NA,2020-03-22,0.367403318358212,7.56756756756757,0.0101676284693597,0.000769442154438032,0,86,3606
"06027","Inyo County",2020-09-11,186,14,18195,-18,NA,-11,NA,-25,NA,2020-03-22,0.367403318358212,7.52688172043011,0.0102225886232481,0.000769442154438032,0,72,3226
"06027","Inyo County",2020-09-12,187,14,18195,-22,NA,-26,NA,-21,NA,2020-03-22,0.367403318358212,7.48663101604278,0.0102775487771366,0.000769442154438032,0,76,3367
"06027","Inyo County",2020-09-13,187,14,18195,-27,NA,-5,NA,-23,NA,2020-03-22,0.367403318358212,7.48663101604278,0.0102775487771366,0.000769442154438032,0,74,2339
"06027","Inyo County",2020-09-14,187,15,18195,-17,NA,-12,NA,-25,NA,2020-03-22,0.367403318358212,8.02139037433155,0.0102775487771366,0.000824402308326463,0,70,2025
"06027","Inyo County",2020-09-15,187,15,18195,-14,NA,-21,NA,-26,NA,2020-03-22,0.367403318358212,8.02139037433155,0.0102775487771366,0.000824402308326463,0,78,4158
"06027","Inyo County",2020-09-16,187,15,18195,-18,NA,-23,NA,-28,NA,2020-03-22,0.367403318358212,8.02139037433155,0.0102775487771366,0.000824402308326463,0,82,3748
"06027","Inyo County",2020-09-17,187,15,18195,-20,NA,-22,NA,-24,NA,2020-03-22,0.367403318358212,8.02139037433155,0.0102775487771366,0.000824402308326463,0,62,3798
"06027","Inyo County",2020-09-18,188,15,18195,-25,NA,-26,NA,-27,NA,2020-03-22,0.367403318358212,7.97872340425532,0.010332508931025,0.000824402308326463,0,72,3299
"06027","Inyo County",2020-09-19,188,15,18195,-22,NA,-29,NA,-22,NA,2020-03-22,0.367403318358212,7.97872340425532,0.010332508931025,0.000824402308326463,0,60,3438
"06027","Inyo County",2020-09-20,188,15,18195,-27,NA,-18,NA,-24,NA,2020-03-22,0.367403318358212,7.97872340425532,0.010332508931025,0.000824402308326463,0,73,2486
"06027","Inyo County",2020-09-21,188,15,18195,-19,NA,-19,NA,-25,NA,2020-03-22,0.367403318358212,7.97872340425532,0.010332508931025,0.000824402308326463,0,71,2163
"06027","Inyo County",2020-09-22,188,15,18195,-21,NA,-29,NA,-27,NA,2020-03-22,0.367403318358212,7.97872340425532,0.010332508931025,0.000824402308326463,0,56,4087
"06027","Inyo County",2020-09-23,189,15,18195,-17,NA,-40,NA,-27,NA,2020-03-22,0.367403318358212,7.93650793650794,0.0103874690849134,0.000824402308326463,0,68,3703
"06027","Inyo County",2020-09-24,189,15,18195,-19,NA,-37,NA,-28,NA,2020-03-22,0.367403318358212,7.93650793650794,0.0103874690849134,0.000824402308326463,0,67,3774
"06027","Inyo County",2020-09-25,190,15,18195,-24,NA,-42,NA,-32,NA,2020-03-22,0.367403318358212,7.89473684210526,0.0104424292388019,0.000824402308326463,0,72,3376
"06027","Inyo County",2020-09-26,190,15,18195,-21,NA,-47,NA,-23,NA,2020-03-22,0.367403318358212,7.89473684210526,0.0104424292388019,0.000824402308326463,0,57,3492
